"[1, 1, 1, 1, 6]","[7.59875279696913e-05, 9.56757730115021, 10.375775714322888, 10.59774733917681]"
"[8, 1, 1, 1, 5]","[4.21470428238369, 0.0, 0.0, 0.0]"
"[4, 1, 1, 1, 5]","[20.4268102481132, 0.0, 0.0, 0.0]"
"[4, 1, 1, 1, 4]","[27.972667789709984, 0.0, 0.0, 0.0]"
"[0, 1, 1, 1, 4]","[-10.573952745612072, 0.0, 0.0, 0.0]"
"[0, 1, 1, 1, 5]","[10.135269818236688, 0.0, 0.0, 0.0]"
"[4, 1, 1, 1, 3]","[34.46262527469811, 0.0, 0.0, 0.0]"
"[3, 1, 1, 1, 5]","[11.093154169512209, 0.0, 0.0, 0.0]"
"[3, 1, 1, 1, 4]","[11.332178828434905, 0.0, 0.0, 0.0]"
"[3, 1, 1, 1, 6]","[0.0, 0.04966873815108003, 0.24021210155616213, 24.42347984043658]"
"[3, 1, 1, 1, 3]","[28.202731019455175, 0.0, 0.0, 0.0]"
"[3, 1, 1, 1, 2]","[36.109449115851, 0.0, 0.0, 0.0]"
"[5, 1, 1, 1, 6]","[0.0, 0.35022236085705194, 0.5104611445713989, 28.901719108389138]"
"[5, 1, 1, 8, 5]","[0.0, 0.0, 0.0, 42.273385400230374]"
"[5, 1, 1, 4, 1]","[0.0, 0.0, 0.0, 11.2923488700434]"
"[5, 1, 1, 4, 4]","[0.0, 0.0, 0.0, -2.168102456665254]"
"[5, 1, 1, 0, 2]","[0.0, 0.0, 0.0, 24.748324990882416]"
"[5, 1, 1, 0, 1]","[0.0, 0.0, 0.0, 60.9787518795731]"
"[5, 1, 1, 0, 4]","[0.0, 0.0, 0.0, 13.057048924124114]"
"[5, 1, 1, 7, 3]","[0.0, 0.0, 0.0, 32.66947096749419]"
"[5, 1, 1, 5, 6]","[0.0, 32.35752531315693, 0.08504898659145413, 0.0]"
"[5, 1, 8, 5, 2]","[0.0, 0.0, 16.397467716737815, 0.0]"
"[5, 1, 4, 5, 4]","[0.0, 0.0, 18.678981907345488, 0.0]"
"[5, 1, 4, 5, 1]","[0.0, 0.0, 5.933628308944219, 0.0]"
"[5, 1, 4, 5, 6]","[0.0, 72.30776563200065, 21.126022667919653, 0.0]"
"[5, 1, 0, 5, 2]","[0.0, 0.0, 18.341308484304488, 0.0]"
"[5, 1, 0, 5, 4]","[0.0, 0.0, 3.5079659506728147, 0.0]"
"[5, 1, 7, 5, 3]","[0.0, 0.0, 37.48095255180697, 0.0]"
"[5, 1, 8, 5, 4]","[0.0, 0.0, 12.126513362574364, 0.0]"
"[5, 1, 0, 5, 6]","[0.0, 51.866685526802755, 12.932966723713925, 0.0]"
"[5, 1, 0, 5, 1]","[0.0, 0.0, 21.685293930317478, 0.0]"
"[5, 1, 5, 5, 6]","[0.0, 61.65495513025612, 0.0, 0.0]"
"[5, 8, 5, 5, 4]","[0.0, 0.056686120407553, 0.0, 0.0]"
"[5, 0, 5, 5, 6]","[0.0, 15.307952801933851, 0.0, 0.0]"
"[5, 0, 5, 5, 2]","[0.0, 34.7325391460107, 0.0, 0.0]"
"[5, 0, 5, 5, 4]","[0.0, 39.739327468984825, 0.0, 0.0]"
"[5, 4, 5, 5, 3]","[0.0, 5.779568029431126, 0.0, 0.0]"
"[5, 4, 5, 5, 1]","[0.0, 2.605049608699762, 0.0, 0.0]"
"[5, 4, 5, 5, 4]","[0.0, 21.34878105270002, 0.0, 0.0]"
"[5, 4, 5, 5, 6]","[0.0, 27.014603899886616, 0.0, 0.0]"
"[8, 1, 1, 1, 3]","[19.316901826199206, 0.0, 0.0, 0.0]"
"[7, 1, 1, 1, 6]","[18.99625806964136, 50.180568201747356, 47.383261834863205, 50.004668880960345]"
"[0, 1, 1, 1, 1]","[-19.079893526367787, 0.0, 0.0, 0.0]"
"[0, 1, 1, 1, 6]","[9.706991253118279, 0.13901723149745632, 5.199817561932404, 0.0010199061710334002]"
"[8, 1, 1, 1, 1]","[24.383316858106497, 0.0, 0.0, 0.0]"
"[0, 1, 1, 1, 3]","[40.370879688959, 0.0, 0.0, 0.0]"
"[5, 1, 1, 8, 3]","[0.0, 0.0, 0.0, 8.798762714080192]"
"[5, 1, 1, 4, 6]","[0.0, 3.8428694517992286, 0.7107929546238652, 16.126464081876318]"
"[5, 1, 1, 0, 6]","[0.0, 1.620828261093592, 0.5849622230182477, -3.1905872399914665]"
"[5, 1, 1, 4, 3]","[0.0, 0.0, 0.0, 13.774324636151238]"
