"[1, 1, 1, 1, 6]","[0.0051760042728788746, 19.73625222922891, 0.0018464386152089987, 0.1359019909294269]"
"[8, 1, 1, 1, 6]","[13.368298122977816, 0.0, 0.0, 0.0]"
"[0, 1, 1, 1, 1]","[28.075921759363567, 0, 0, 0]"
"[0, 1, 1, 1, 6]","[-7.071675281636208, 52.74058080487033, 0.4382431760979737, 0.29749352123877004]"
"[8, 1, 1, 1, 2]","[29.945838970913993, 0, 0, 0]"
"[0, 1, 1, 1, 5]","[8.779490569279341, 0, 0, 0]"
"[0, 1, 1, 1, 4]","[29.81147581203409, 0, 0, 0]"
"[8, 1, 1, 1, 1]","[3.566438865588931, 0, 0, 0]"
"[4, 1, 1, 1, 3]","[29.994706635745572, 0, 0, 0]"
"[4, 1, 1, 1, 1]","[24.22864516927088, 0, 0, 0]"
"[8, 1, 1, 1, 4]","[1.0654655734031586, 0, 0, 0]"
"[0, 1, 8, 1, 1]","[-9.136688325406508, 0, 30.75346198641587, 0]"
"[4, 1, 4, 1, 2]","[-32.885254747334756, 0, 28.128260819663854, 0]"
"[4, 1, 0, 1, 4]","[38.32590573145945, 0, -23.96308703180526, 0]"
"[8, 1, 0, 1, 5]","[0.0, 0, 59.63531392027699, 0]"
"[4, 1, 0, 1, 1]","[-26.629733539481844, 0, 17.58080007469271, 0]"
"[4, 1, 0, 1, 6]","[49.71297054198547, 1.0253372416743176, -29.10968096824647, 2.649125126487588]"
"[1, 1, 4, 1, 3]","[0, 0, 1.2743348523772624, 0]"
"[1, 1, 4, 1, 5]","[0, 0, 30.877103254560193, 0]"
"[1, 1, 4, 1, 6]","[2.69645800847022, 53.77688249835852, -11.011775553857351, 7.655517896756168]"
"[8, 1, 0, 1, 3]","[45.388154037816506, 0, 3.9553974154627562, 0]"
"[0, 1, 0, 1, 2]","[40.48213851410322, 0, -30.409379773527554, 0]"
"[0, 1, 0, 1, 5]","[33.44835113167792, 0, -10.981445381444034, 0]"
"[0, 1, 4, 1, 2]","[11.589963759759076, 0, -57.798654445044995, 0]"
"[4, 1, 1, 1, 6]","[-7.066263871880018, 2.1891213821556486, 2.6707502340554634, 29.61204353189155]"
"[4, 1, 1, 1, 2]","[-20.606384845557223, 0, 0, 0]"
"[5, 1, 1, 1, 6]","[0, 54.77176786500166, 1.988487987339114, 2.6679134104799855]"
"[5, 1, 1, 8, 3]","[0, 0, 0, 6.516376659274385]"
"[5, 1, 1, 4, 5]","[0, 0, 0, 75.11398393224113]"
"[5, 1, 1, 0, 6]","[0, 9.150716981984397, 48.43907693743344, 10.949371290650689]"
"[5, 1, 1, 0, 5]","[0, 0, 0, 34.41874039853906]"
"[5, 1, 1, 4, 4]","[0, 0, 0, 37.26639712184]"
"[5, 1, 1, 0, 2]","[0, 0, 0, 20.66263143616738]"
"[5, 1, 1, 4, 1]","[0, 0, 0, 38.677663926792675]"
"[5, 1, 1, 4, 6]","[0, 9.919539493170495, 4.4579341734776, -17.42125120812308]"
"[5, 1, 1, 7, 2]","[0, 0, 0, 31.09967069729197]"
"[5, 1, 1, 0, 4]","[0, 0, 0, 26.82697167662251]"
"[5, 1, 1, 3, 5]","[0, 0, 0, 0.3964953020145296]"
"[5, 1, 1, 3, 4]","[0, 0, 0, 1.2686752767105947]"
"[5, 1, 1, 3, 3]","[0, 0, 0, 1.4361308151013847]"
"[5, 1, 1, 5, 6]","[0, 19.42582395410526, 5.058984194959334, 0]"
"[5, 1, 8, 5, 6]","[0, 215.17646754008925, 0.0, 0]"
"[5, 8, 8, 5, 2]","[0, 51.2579511, 119.02591113974378, 0]"
"[5, 8, 4, 5, 4]","[0, 33.787063313316004, 115.82945794870288, 0]"
"[5, 8, 4, 5, 1]","[0, 68.91223341122378, 143.20520885115536, 0]"
"[5, 8, 4, 5, 2]","[0, 18.221187220013675, 80.1606961148399, 0]"
"[5, 8, 0, 5, 5]","[0, 35.81903341210027, 133.12983808727822, 0]"
"[5, 8, 4, 5, 5]","[0, 47.5729638001952, 126.74765930011293, 0]"
"[5, 8, 4, 5, 6]","[0, 10.167463313315997, 113.06041272740265, 0]"
"[5, 8, 8, 5, 1]","[0, 88.09327278749556, 62.88517324817758, 0]"
"[5, 8, 0, 5, 2]","[0, 1.1125135577747731, 129.01973160786733, 0]"
"[5, 8, 8, 5, 3]","[0, 75.8026576845436, 95.86412757771399, 0]"
"[5, 8, 0, 5, 1]","[0, 0.43101054657223237, 89.0711465008027, 0]"
"[5, 8, 3, 5, 5]","[0, 0.0, 89.03499849307639, 0]"
"[5, 8, 3, 5, 2]","[0, 0.0, 95.00554938371678, 0]"
"[5, 8, 3, 5, 1]","[0, 17.137795327074898, 89.40107394479773, 0]"
"[5, 8, 5, 5, 5]","[0, 6.814153715642517, 0, 0]"
"[5, 4, 5, 5, 2]","[0, 39.456947275510664, 0, 0]"
"[5, 8, 5, 5, 2]","[0, 1.7020613403623313, 0, 0]"
"[5, 0, 5, 5, 1]","[0, 14.511051263185538, 0, 0]"
"[5, 0, 5, 5, 2]","[0, 15.158662780494158, 0, 0]"
"[5, 0, 5, 5, 6]","[0, 45.755350998887266, 0, 0]"
"[5, 0, 5, 5, 5]","[0, 57.66076122107131, 0, 0]"
"[5, 0, 5, 5, 3]","[0, 27.177690713029882, 0, 0]"
"[5, 3, 5, 5, 1]","[0, 2.6283863511839223, 0, 0]"
"[5, 3, 5, 5, 2]","[0, 1.1651565876860075, 0, 0]"
"[5, 3, 5, 5, 5]","[0, 1.8986711942260417, 0, 0]"
"[5, 3, 5, 5, 3]","[0, 1.04514563950392, 0, 0]"
"[0, 1, 1, 1, 2]","[6.768874792366949, 0, 0, 0]"
"[4, 1, 1, 1, 4]","[39.4056955454772, 0, 0, 0]"
"[5, 1, 1, 0, 1]","[0, 0, 0, 18.35633100450385]"
"[5, 1, 1, 3, 6]","[0, 1.0805887458996388, 1.044126833707187, 0.0]"
"[5, 1, 8, 5, 4]","[0, 0, 19.431825612082616, 0]"
"[5, 1, 4, 5, 1]","[0, 0, 12.270408033779164, 0]"
"[5, 1, 4, 5, 6]","[0, 107.48944053545804, 31.761811854809995, 0]"
"[5, 1, 0, 5, 3]","[0, 0, 42.266596123918525, 0]"
"[5, 1, 0, 5, 1]","[0, 0, 21.110625927039663, 0]"
"[5, 1, 7, 5, 6]","[0, 204.6980005878778, 24.618930121370557, 0]"
"[5, 8, 4, 5, 3]","[0, 21.550015618582776, 130.59998336329693, 0]"
"[5, 8, 0, 5, 6]","[0, 2.5844327556906674, 112.12527663011294, 0]"
"[5, 4, 5, 5, 5]","[0, 44.59577227836817, 0, 0]"
"[5, 0, 5, 5, 4]","[0, 12.40764992859566, 0, 0]"
"[5, 8, 5, 5, 1]","[0, 31.881317997108624, 0, 0]"
"[5, 1, 5, 5, 6]","[0, 174.0869532839346, 0, 0]"
"[5, 4, 5, 5, 4]","[0, 67.61884655716607, 0, 0]"
"[5, 4, 5, 5, 6]","[0, 65.84637553424821, 0, 0]"
