"[8, 1, 1, 1, 2]","[-7.2973318747185e-104, 0, 0, 0]"
"[4, 1, 1, 1, 1]","[-5.0392805593039684e-06, 0, 0, 0]"
"[8, 1, 1, 1, 4]","[-4.7106077419542893e-57, 0, 0, 0]"
"[0, 1, 1, 1, 6]","[-2.526173043416959, 0.0, 0.0, 0.0]"
"[0, 1, 1, 1, 2]","[-7.150318416988767, 0, 0, 0]"
"[4, 1, 1, 1, 5]","[0.025267394291725743, 0, 0, 0]"
"[8, 1, 1, 1, 5]","[-6.501859500616131e-36, 0, 0, 0]"
"[4, 1, 1, 1, 3]","[-0.5931011767748966, 0, 0, 0]"
"[0, 1, 1, 1, 3]","[-4.8630927802513035, 0, 0, 0]"
"[8, 1, 1, 1, 6]","[-29.159999999999997, 0.0, 0.0, 0.0]"
"[0, 8, 1, 1, 2]","[-29.118762590210608, 0.0, 0, 0]"
"[0, 8, 1, 1, 4]","[-13.055055912842572, -2.7897074498746835e-50, 0, 0]"
"[0, 8, 1, 1, 1]","[-9.626633880987814, -1.1056486625615189e-21, 0, 0]"
"[4, 8, 1, 1, 2]","[-4.111668025802823, -6.05901163160087e-20, 0, 0]"
"[4, 8, 1, 1, 1]","[-0.5912353176573832, 0.0, 0, 0]"
"[0, 8, 1, 1, 3]","[-17.501474419606048, 0.0, 0, 0]"
"[7, 8, 1, 1, 3]","[-28.444602584537243, 0.0, 0, 0]"
"[4, 8, 1, 1, 5]","[-1.0012622019972959, 0.0, 0, 0]"
"[3, 8, 1, 1, 4]","[3.473851994704326, 0.0, 0, 0]"
"[3, 8, 1, 1, 3]","[16.075422924227944, 0.0, 0, 0]"
"[3, 8, 1, 1, 2]","[34.21217747639558, 0.0, 0, 0]"
"[3, 8, 1, 1, 1]","[29.903005942446697, 0.0, 0, 0]"
"[5, 0, 1, 8, 2]","[0, -29.159999999999997, 0, 0.0]"
"[5, 4, 1, 4, 2]","[0, -79.86926653210944, 0, -1.3192909802615924]"
"[5, 0, 1, 0, 6]","[0, -34.35648372707491, 0.0, -2.0933905321094404]"
"[5, 0, 1, 4, 3]","[0, -46.19492301587997, 0, -1.3734849763630064]"
"[5, 0, 1, 0, 2]","[0, -43.95042647911254, 0, -32.0643668394565]"
"[5, 0, 1, 0, 1]","[0, -30.48301543272272, 0, -0.32100021159177555]"
"[5, 0, 1, 4, 4]","[0, -26.669107641855557, 0, 0.03757971614925295]"
"[5, 0, 1, 4, 5]","[0, -35.99966879316388, 0, -0.03680545574589874]"
"[5, 0, 1, 0, 4]","[0, -78.66920619724789, 0, -56.59146125667836]"
"[5, 0, 1, 4, 2]","[0, -9.046594042872428, 0, -39.871140117319385]"
"[5, 0, 1, 5, 2]","[0, -21.181335740823304, 0, 0]"
"[5, 0, 1, 5, 1]","[0, 2.53396167052726, 0, 0]"
"[5, 0, 1, 5, 3]","[0, -26.093940796886773, 0, 0]"
"[5, 4, 1, 5, 5]","[0, 0.00511883708391477, 0, 0]"
"[5, 0, 1, 5, 4]","[0, -36.38405119051101, 0, 0]"
"[5, 0, 1, 5, 6]","[0, -1.5292019806919677, 0.0, 0]"
"[5, 0, 0, 5, 3]","[0, -36.00786508406645, -17.30742964937976, 0]"
"[5, 0, 0, 5, 6]","[0, -66.92657280916455, 3.810103557970784, 0]"
"[5, 4, 1, 5, 4]","[0, -1.0050288949240853, 0, 0]"
"[5, 5, 0, 5, 1]","[0, 0, 2.2209775686600426, 0]"
"[5, 5, 0, 5, 3]","[0, 0, -1.3834639787148437e-14, 0]"
"[5, 5, 0, 5, 2]","[0, 0, 4.883555794995612, 0]"
