"[1, 1, 1, 1, 6]","[0.04117549576334263, 4.6990004141625305e-05, 0.01138583894382964, 0.0006678970724763995]"
"[1, 1, 8, 1, 2]","[0, 0, 16.605236739661738, 0]"
"[1, 1, 0, 1, 3]","[0, 0, -2.1555812159727292, 0]"
"[1, 1, 0, 1, 1]","[0, 0, 14.735114150077525, 0]"
"[1, 1, 8, 1, 4]","[0, 0, 10.647523863460847, 0]"
"[1, 1, 4, 1, 6]","[0.21368362416407657, 0.0, 2.985315270919812, 5.804412592190631]"
"[8, 1, 4, 1, 6]","[23.16854019376074, 0.0, 12.149006980499998, 0.0]"
"[0, 1, 0, 1, 1]","[9.561631216061159, 0, 38.39032413769441, 0]"
"[0, 1, 0, 1, 2]","[-5.868551806108642, 0, 9.1969876612291, 0]"
"[0, 1, 0, 1, 4]","[-11.286954035872332, 0, 5.174410301517794, 0]"
"[8, 1, 0, 1, 1]","[0.03961410142483941, 0, -6.276211921799999, 0]"
"[0, 1, 4, 1, 6]","[-18.294620164147812, 6.649648473608518, -12.16171879076971, 0.0]"
"[0, 1, 4, 1, 3]","[-18.675573255583842, 0, 7.3688423796917215, 0]"
"[0, 1, 4, 1, 2]","[-2.945845131052932, 0, 1.1627418433988372, 0]"
"[0, 1, 4, 1, 5]","[34.80260013968171, 0, 7.156696684989922, 0]"
"[4, 1, 4, 1, 3]","[3.6455553157069835, 0, 3.766892545162718, 0]"
"[4, 1, 4, 1, 2]","[-13.909865347338775, 0, 26.460337698731024, 0]"
"[5, 1, 0, 1, 4]","[0, 0, 15.997914424969853, 0]"
"[5, 1, 1, 1, 6]","[0, 20.748395830512877, 1.5652852828278643, 27.641020571182626]"
"[5, 1, 1, 8, 3]","[0, 0, 0, 16.7773449026678]"
"[5, 1, 1, 4, 5]","[0, 0, 0, 20.222633687810042]"
"[5, 1, 1, 7, 4]","[0, 0, 0, 7.168757620995846]"
"[5, 1, 1, 4, 6]","[0, 0.0, 2.8363369297630157, 21.45099042192488]"
"[5, 1, 1, 7, 3]","[0, 0, 0, 31.60462844443319]"
"[5, 1, 1, 5, 6]","[0, 21.048479961694735, 0.5692298185109519, 0]"
"[5, 1, 8, 5, 1]","[0, 0, 30.54103753692327, 0]"
"[5, 1, 0, 5, 5]","[0, 0, 21.016520869257405, 0]"
"[5, 1, 4, 5, 4]","[0, 0, 40.36747564575684, 0]"
"[5, 1, 0, 5, 1]","[0, 0, 17.97253656634875, 0]"
"[5, 1, 0, 5, 4]","[0, 0, 24.116867570380972, 0]"
"[5, 1, 0, 5, 3]","[0, 0, 12.189443946788964, 0]"
"[5, 1, 8, 5, 2]","[0, 0, 1.1607780097338756, 0]"
"[5, 1, 0, 5, 2]","[0, 0, 16.651219202415213, 0]"
"[5, 1, 3, 5, 1]","[0, 0, 35.0508327447056, 0]"
"[5, 1, 3, 5, 2]","[0, 0, 31.237686956857132, 0]"
"[5, 1, 3, 5, 5]","[0, 0, 3.0117348926701233, 0]"
"[5, 1, 3, 5, 4]","[0, 0, 2.1542796639013813, 0]"
"[5, 1, 3, 5, 6]","[0, 51.11545591646734, 0.0, 0]"
"[5, 1, 3, 5, 3]","[0, 0, 31.3651308663043, 0]"
"[5, 8, 3, 5, 2]","[0, 2.188379782630246, 72.72691950564219, 0]"
"[5, 8, 3, 5, 6]","[0, 0.763040848953891, 37.33158192651502, 0]"
"[5, 8, 3, 5, 4]","[0, 23.754580539933315, 57.329324208123026, 0]"
"[5, 8, 3, 5, 5]","[0, 5.083731656657998, 37.84346486537928, 0]"
"[5, 0, 3, 5, 3]","[0, 0.9162008154402537, 14.659305651306447, 0]"
"[5, 0, 3, 5, 2]","[0, 2.95245, 19.757311134357263, 0]"
"[5, 0, 5, 5, 2]","[0, 5.302405328841599, 0, 0]"
"[5, 8, 5, 5, 4]","[0, 11.58642733143556, 0, 0]"
"[5, 0, 5, 5, 4]","[0, 15.357046908241568, 0, 0]"
"[5, 7, 5, 5, 4]","[0, 0.4588669456978416, 0, 0]"
"[5, 0, 5, 5, 5]","[0, 21.401545688140533, 0, 0]"
"[5, 0, 5, 5, 1]","[0, -1.100339239637858, 0, 0]"
"[5, 1, 5, 5, 6]","[0, 51.02375216210322, 0, 0]"
"[5, 8, 5, 5, 6]","[0, 1.9794138687333764, 0, 0]"
"[5, 0, 5, 5, 3]","[0, 6.575336023467699, 0, 0]"
"[5, 7, 5, 5, 1]","[0, 31.134441229655387, 0, 0]"
"[8, 1, 1, 1, 4]","[8.935937621269593, 0, 0, 0]"
"[4, 1, 1, 1, 6]","[2.047709579465668, 0.47847789136018815, 10.783233520492358, 8.243496407179592]"
"[0, 1, 1, 1, 4]","[13.435315623619195, 0, 0, 0]"
"[0, 1, 1, 1, 3]","[12.50625168735694, 0, 0, 0]"
"[0, 1, 1, 1, 2]","[9.589177833137406, 0, 0, 0]"
"[0, 1, 1, 1, 5]","[18.88768771802306, 0, 0, 0]"
"[4, 1, 1, 1, 4]","[15.545785652449325, 0, 0, 0]"
"[0, 1, 1, 1, 6]","[-0.6195430599963383, 1.1003308813371047, 1.0340380765885167, 0.019488976368937254]"
"[8, 1, 1, 1, 1]","[1.615548566663353, 0, 0, 0]"
"[4, 1, 1, 1, 5]","[8.926663250494023, 0, 0, 0]"
"[4, 1, 1, 1, 2]","[0.6605104659590333, 0, 0, 0]"
"[7, 1, 1, 1, 1]","[28.837782764900815, 0, 0, 0]"
"[3, 1, 1, 1, 2]","[18.500573868854367, 0, 0, 0]"
"[3, 1, 1, 1, 6]","[0.0, 2.949955335321882, 0.0, 13.405128861537449]"
"[3, 1, 1, 1, 3]","[22.380873233521154, 0, 0, 0]"
"[3, 1, 1, 1, 5]","[11.742611121374496, 0, 0, 0]"
"[5, 1, 1, 8, 5]","[0, 0, 0, 11.538675460645198]"
"[5, 1, 1, 4, 1]","[0, 0, 0, 7.655448891848162]"
"[5, 1, 1, 4, 3]","[0, 0, 0, 2.459309546469575]"
"[5, 1, 1, 0, 4]","[0, 0, 0, 22.948018733997564]"
"[5, 1, 1, 0, 1]","[0, 0, 0, 7.9447627499154585]"
"[5, 1, 1, 0, 5]","[0, 0, 0, 19.21355257353797]"
