"[1, 1, 1, 1, 6]","[3.0314143536007987, 2.392493893067406, 0.05528144304466581, 0.00021019329694759158]"
"[8, 1, 1, 1, 5]","[12.92328200654546, 0, 0, 0]"
"[4, 1, 1, 1, 5]","[19.66382554935077, 0, 0, 0]"
"[4, 1, 1, 1, 4]","[7.458780421127986, 0, 0, 0]"
"[0, 1, 1, 1, 4]","[4.075811632247019, 0, 0, 0]"
"[0, 1, 1, 1, 5]","[15.750293295033543, 0, 0, 0]"
"[4, 1, 1, 1, 3]","[16.74829215787534, 0, 0, 0]"
"[3, 1, 1, 1, 5]","[4.723643108501781, 0, 0, 0]"
"[3, 1, 1, 1, 4]","[9.26356705468372, 0, 0, 0]"
"[3, 1, 1, 1, 6]","[0.0, 1.6072384565050604, 1.3842191173189495, 18.514998393326728]"
"[3, 1, 1, 1, 3]","[31.94915580214459, 0, 0, 0]"
"[3, 1, 1, 1, 2]","[20.069561649759624, 0, 0, 0]"
"[5, 1, 1, 1, 6]","[0, 10.32217243726984, 0.22367070036432463, 5.292029100610896]"
"[5, 1, 1, 8, 5]","[0, 0, 0, 9.534636037244985]"
"[5, 1, 1, 4, 1]","[0, 0, 0, 3.7715152709756437]"
"[5, 1, 1, 4, 4]","[0, 0, 0, 27.583399499540217]"
"[5, 1, 1, 0, 2]","[0, 0, 0, 5.97143873403518]"
"[5, 1, 1, 0, 1]","[0, 0, 0, 22.451388590571607]"
"[5, 1, 1, 0, 4]","[0, 0, 0, 36.34640480232854]"
"[5, 1, 1, 7, 3]","[0, 0, 0, 13.531417524012594]"
"[5, 1, 1, 5, 6]","[0, 11.244483457185822, 1.2522002424914722, 0]"
"[5, 1, 8, 5, 2]","[0, 0, 5.491850185966124, 0]"
"[5, 1, 4, 5, 4]","[0, 0, 18.209305012732766, 0]"
"[5, 1, 4, 5, 1]","[0, 0, 10.965165623958418, 0]"
"[5, 1, 4, 5, 6]","[0, 61.17041774600832, 4.762724614994995, 0]"
"[5, 1, 0, 5, 2]","[0, 0, 16.798404579621042, 0]"
"[5, 1, 0, 5, 4]","[0, 0, 14.768060038317367, 0]"
"[5, 1, 7, 5, 3]","[0, 0, 11.053204559770911, 0]"
"[5, 1, 8, 5, 4]","[0, 0, 1.17345173911553, 0]"
"[5, 1, 0, 5, 6]","[0, 62.59369510374579, 35.897810587684496, 0]"
"[5, 1, 0, 5, 1]","[0, 0, 13.807286985954285, 0]"
"[5, 1, 5, 5, 6]","[0, 71.18789536262949, 0, 0]"
"[5, 8, 5, 5, 4]","[0, 5.9059516670413075, 0, 0]"
"[5, 0, 5, 5, 6]","[0, 22.522473179307934, 0, 0]"
"[5, 0, 5, 5, 2]","[0, 21.14051503864848, 0, 0]"
"[5, 0, 5, 5, 4]","[0, -6.727245218718832, 0, 0]"
"[5, 4, 5, 5, 3]","[0, 16.276648925241965, 0, 0]"
"[5, 4, 5, 5, 1]","[0, 44.61148799203925, 0, 0]"
"[5, 4, 5, 5, 4]","[0, 9.429643117766965, 0, 0]"
"[5, 4, 5, 5, 6]","[0, 22.39917907832816, 0, 0]"
"[8, 1, 1, 1, 3]","[30.351407530272436, 0, 0, 0]"
"[7, 1, 1, 1, 6]","[37.83041628881238, 50.411281115715674, 34.3094701955, 45.444461175949996]"
"[0, 1, 1, 1, 1]","[-1.5673717960886697, 0, 0, 0]"
"[0, 1, 1, 1, 6]","[-4.751465870894981, 2.02647747214711, 0.5859977346448149, 35.74719369499675]"
"[8, 1, 1, 1, 1]","[22.098372146924994, 0, 0, 0]"
"[0, 1, 1, 1, 3]","[3.1728257390944576, 0, 0, 0]"
"[5, 1, 1, 8, 3]","[0, 0, 0, 3.463357158374615]"
"[5, 1, 1, 4, 6]","[0, 0.0, 7.284022328929581, 20.662466752060013]"
"[5, 1, 1, 0, 6]","[0, 0.2956176588286916, 27.239204425839844, -2.4393287791357987]"
"[5, 1, 1, 4, 3]","[0, 0, 0, 5.656243459926459]"
"[5, 1, 1, 4, 5]","[0, 0, 0, 25.845945970642557]"
"[5, 1, 1, 0, 3]","[0, 0, 0, 20.069980123198068]"
"[5, 1, 1, 3, 1]","[0, 0, 0, 39.91029549562921]"
"[5, 1, 1, 3, 6]","[0, 0.0, 7.336814299099148, 0.0]"
"[5, 1, 1, 3, 3]","[0, 0, 0, 11.398747500362449]"
"[5, 1, 1, 3, 4]","[0, 0, 0, 10.157243029230603]"
"[5, 1, 1, 3, 2]","[0, 0, 0, 10.270644837266238]"
"[5, 1, 8, 5, 1]","[0, 0, 8.9158833060751, 0]"
"[5, 1, 0, 5, 3]","[0, 0, 24.150164313628174, 0]"
"[5, 1, 0, 5, 5]","[0, 0, 26.226341965928988, 0]"
"[5, 1, 3, 5, 2]","[0, 0, 21.02183729482381, 0]"
"[0, 1, 1, 1, 2]","[5.921184034465596, 0, 0, 0]"
"[8, 1, 1, 1, 4]","[10.408642547783439, 0, 0, 0]"
"[4, 1, 1, 1, 6]","[-2.1024070953910567, 39.0895896830002, 0.19274481632354287, 0.18880759722625906]"
"[5, 1, 1, 8, 6]","[0, 0.0, 3.094015624444662, 3.1223323306849067]"
"[5, 1, 1, 4, 2]","[0, 0, 0, 11.40375727340141]"
"[5, 1, 1, 0, 5]","[0, 0, 0, 8.397323973973062]"
"[5, 1, 7, 5, 2]","[0, 0, 11.983647586838787, 0]"
"[5, 1, 4, 5, 5]","[0, 0, 48.2100725898994, 0]"
"[5, 1, 4, 5, 3]","[0, 0, -2.339944966023004, 0]"
"[5, 1, 3, 5, 3]","[0, 0, 32.78327508575589, 0]"
"[5, 8, 5, 5, 3]","[0, 0.2961860711931561, 0, 0]"
"[5, 0, 5, 5, 1]","[0, 19.556144658214343, 0, 0]"
"[8, 1, 1, 1, 2]","[31.848988564593242, 0, 0, 0]"
"[4, 1, 1, 1, 1]","[24.990463278655564, 0, 0, 0]"
"[4, 1, 1, 1, 2]","[26.4643533343802, 0, 0, 0]"
"[7, 1, 1, 1, 2]","[2.0767817091550445, 0, 0, 0]"
"[3, 1, 1, 1, 1]","[16.563627343117737, 0, 0, 0]"
"[5, 1, 1, 8, 4]","[0, 0, 0, 0.03431725097142122]"
