"[1, 1, 1, 1, 6]","[0.007202592170432154, 0.004300933979856077, 0.00719539448169922, 0.1887276082135722]"
"[8, 1, 1, 1, 2]","[0.8435140202714158, 0, 0, 0]"
"[0, 1, 1, 1, 1]","[0.03503059141850044, 0, 0, 0]"
"[0, 1, 1, 1, 3]","[-0.016773886594202845, 0, 0, 0]"
"[0, 1, 1, 1, 5]","[12.141527087552442, 0, 0, 0]"
"[4, 1, 1, 1, 2]","[-6.070132913589821, 0, 0, 0]"
"[4, 1, 1, 1, 6]","[-2.1206001289477165, 2.8417507257910835, 3.356250958939316, 0.21933358015393759]"
"[4, 1, 1, 1, 3]","[7.639755776361627, 0, 0, 0]"
"[0, 1, 1, 1, 2]","[1.98278621981019, 0, 0, 0]"
"[7, 1, 1, 1, 4]","[0.05921014149968268, 0, 0, 0]"
"[3, 1, 1, 1, 6]","[0.0, 1.0167463313316, 0.11256129353286022, 0.90987486083821]"
"[3, 1, 1, 1, 4]","[2.8205377703749654, 0, 0, 0]"
"[3, 1, 1, 1, 5]","[4.793673881214292, 0, 0, 0]"
"[3, 1, 1, 1, 3]","[17.29399672549682, 0, 0, 0]"
"[3, 1, 1, 1, 1]","[15.465329150724095, 0, 0, 0]"
"[5, 1, 1, 1, 6]","[0, 0.3317641741856859, 0.2922977338379422, 0.6158117554367852]"
"[5, 1, 1, 8, 6]","[0, 0.22876792454961, 0.0, 5.559116525170059]"
"[5, 1, 1, 0, 5]","[0, 0, 0, 6.8178133262558145]"
"[5, 1, 1, 0, 4]","[0, 0, 0, 10.469996646451216]"
"[5, 1, 1, 0, 1]","[0, 0, 0, 0.7372126928612848]"
"[5, 1, 1, 0, 2]","[0, 0, 0, 4.073773926639492]"
"[5, 1, 1, 7, 6]","[0, 3.439, 10.576605924114839, -3.664631301057079]"
"[5, 1, 1, 4, 3]","[0, 0, 0, 4.466944108107146]"
"[5, 1, 1, 4, 5]","[0, 0, 0, 3.3659414428960615]"
"[5, 1, 1, 4, 2]","[0, 0, 0, -5.38917929793468]"
"[5, 1, 1, 5, 6]","[0, 6.084790427495463, 0.5842538122605554, 0]"
"[5, 1, 8, 5, 1]","[0, 0, 4.356551887622608, 0]"
"[5, 1, 0, 5, 1]","[0, 0, 2.8167958938878295, 0]"
"[5, 1, 0, 5, 6]","[0, 12.511945882895821, 7.375850021826152, 0]"
"[5, 1, 0, 5, 5]","[0, 0, 24.496701580030045, 0]"
"[5, 1, 0, 5, 4]","[0, 0, 5.307721421791891, 0]"
"[5, 1, 4, 5, 5]","[0, 0, 19.61411506674279, 0]"
"[5, 1, 8, 5, 4]","[0, 0, 6.573728833155911, 0]"
"[5, 1, 0, 5, 3]","[0, 0, 2.2982917909231357, 0]"
"[5, 1, 8, 5, 5]","[0, 0, 1.7004916940567754, 0]"
"[5, 1, 8, 5, 2]","[0, 0, 6.096339797247248, 0]"
"[5, 1, 4, 5, 4]","[0, 0, 15.21337497082586, 0]"
"[5, 1, 4, 5, 6]","[0, 14.017079322143234, 4.259151499316316, 0]"
"[5, 1, 8, 5, 6]","[0, 17.510308545803092, 0.0, 0]"
"[5, 1, 4, 5, 2]","[0, 0, 3.828539557896417, 0]"
"[5, 1, 7, 5, 1]","[0, 0, 0.33818190816408567, 0]"
"[8, 1, 1, 1, 4]","[0.8244562131494549, 0, 0, 0]"
"[8, 1, 1, 1, 3]","[1.496632472950074, 0, 0, 0]"
"[4, 1, 1, 1, 5]","[5.927252621791971, 0, 0, 0]"
"[4, 1, 1, 1, 1]","[4.934675711097451, 0, 0, 0]"
"[4, 1, 1, 1, 4]","[-0.5842211568717846, 0, 0, 0]"
"[7, 1, 1, 1, 1]","[4.4694619454167075, 0, 0, 0]"
"[3, 1, 8, 1, 1]","[9.444205935989974, 0, 0.0, 0]"
"[3, 1, 8, 1, 4]","[4.608614600770099, 0, 4.0, 0]"
"[5, 1, 8, 1, 1]","[0, 0, 0.9950271652320015, 0]"
"[5, 1, 0, 1, 5]","[0, 0, -6.79206640978682, 0]"
"[5, 1, 0, 1, 6]","[0, 4.95093407663241, -5.393493898891698, 0.4334721194187454]"
"[5, 1, 0, 8, 4]","[0, 0, -16.830038465118154, 1.7119566298868825]"
"[5, 1, 0, 0, 6]","[0, 11.769918584968645, -1.5258244525543083, -0.14370415753312654]"
"[5, 1, 0, 4, 3]","[0, 0, -22.29786020982394, -17.57326089490741]"
"[5, 1, 0, 4, 1]","[0, 0, -1.5614989232210008, 6.50991272038871]"
"[5, 1, 0, 4, 4]","[0, 0, 18.539456372725, -11.582141076104714]"
"[5, 1, 4, 0, 3]","[0, 0, -3.0932563061186795, -15.580707755533773]"
"[5, 1, 4, 4, 1]","[0, 0, -17.07208787693104, -4.495932994420729]"
"[5, 1, 4, 1, 2]","[0, 0, 12.989113488070043, 0]"
"[5, 1, 4, 1, 6]","[0, 1.3794884521033741, 0.39326680876831777, 0.053958727964062585]"
"[5, 1, 4, 8, 1]","[0, 0, -16.107236623285115, 4.0]"
"[5, 1, 4, 4, 5]","[0, 0, 13.836527455058777, 8.723613224508874]"
"[5, 1, 4, 0, 4]","[0, 0, -6.334904443190509, -28.744261505830902]"
"[5, 1, 4, 8, 4]","[0, 0, 0.0, 0.6003785411879965]"
"[5, 1, 4, 4, 2]","[0, 0, -2.795955739058977, -18.618807754565196]"
"[5, 1, 4, 4, 3]","[0, 0, -13.806732817645056, 2.691254061810986]"
"[5, 1, 0, 4, 2]","[0, 0, 7.4178395230238, -13.102332163023153]"
"[5, 1, 0, 4, 6]","[0, 10.154614299378677, 3.650618455875986, -2.3839122895199996]"
"[5, 1, 7, 5, 2]","[0, 0, 2.8336219009667802, 0]"
"[5, 1, 4, 5, 1]","[0, 0, 0.6292076309953186, 0]"
"[5, 1, 7, 5, 3]","[0, 0, 14.39720112033907, 0]"
"[5, 1, 4, 5, 3]","[0, 0, 11.401439039360653, 0]"
"[5, 1, 7, 5, 4]","[0, 0, -4.849107798253059, 0]"
"[5, 1, 3, 5, 6]","[0, 10.000292371156778, 0.0, 0]"
"[5, 1, 3, 5, 5]","[0, 0, 3.5602986618495387, 0]"
"[5, 1, 3, 5, 4]","[0, 0, 7.853368399713577, 0]"
"[5, 1, 5, 5, 6]","[0, 12.962178811501927, 0, 0]"
"[5, 8, 5, 5, 2]","[0, 2.698526249915144, 0, 0]"
"[5, 0, 5, 5, 2]","[0, 4.231402868274818, 0, 0]"
"[5, 0, 5, 5, 3]","[0, 2.4857479970151686, 0, 0]"
"[5, 0, 5, 5, 6]","[0, 19.127041300832765, 0, 0]"
"[5, 8, 5, 5, 4]","[0, 3.8180119368122414, 0, 0]"
"[5, 0, 5, 5, 1]","[0, 2.2057873866087285, 0, 0]"
"[5, 0, 5, 5, 4]","[0, 20.758229579018966, 0, 0]"
