"[1, 1, 1, 1, 6]","[2.4871563487798594, 0.3297582665816112, 2.5552939626522875, 2.4327476161216803]"
"[8, 1, 1, 1, 5]","[-2.1642162526916953, 0.0, 0.0, 0.0]"
"[4, 1, 1, 1, 5]","[7.288576448887563, 0.0, 0.0, 0.0]"
"[4, 1, 1, 1, 4]","[13.967049652613817, 0.0, 0.0, 0.0]"
"[0, 1, 1, 1, 4]","[11.57777654581798, 0.0, 0.0, 0.0]"
"[0, 1, 1, 1, 5]","[27.81159127031713, 0.0, 0.0, 0.0]"
"[4, 1, 1, 1, 3]","[17.334272325597926, 0.0, 0.0, 0.0]"
"[3, 1, 1, 1, 5]","[22.339890145085867, 0.0, 0.0, 0.0]"
"[3, 1, 1, 1, 4]","[21.318242387631795, 0.0, 0.0, 0.0]"
"[3, 1, 1, 1, 6]","[0.0, 0.02138076313611598, 0.5216685924667629, 39.7340051082116]"
"[3, 1, 1, 1, 3]","[5.629562460008321, 0.0, 0.0, 0.0]"
"[3, 1, 1, 1, 2]","[30.548444645835286, 0.0, 0.0, 0.0]"
"[5, 1, 1, 1, 6]","[0.0, 0.003056728006290018, 16.990809792503445, 0.8174834447855279]"
"[5, 1, 1, 8, 5]","[0.0, 0.0, 0.0, 4.26852660018272]"
"[5, 1, 1, 4, 1]","[0.0, 0.0, 0.0, 31.0865453306534]"
"[5, 1, 1, 4, 4]","[0.0, 0.0, 0.0, 17.240927650941124]"
"[5, 1, 1, 0, 2]","[0.0, 0.0, 0.0, 25.338698917361885]"
"[5, 1, 1, 0, 1]","[0.0, 0.0, 0.0, 3.268593814697852]"
"[5, 1, 1, 0, 4]","[0.0, 0.0, 0.0, 9.006230726253346]"
"[5, 1, 1, 7, 3]","[0.0, 0.0, 0.0, 34.45866459817577]"
"[5, 1, 1, 5, 6]","[0.0, 8.70240896853143, 0.20942332114976842, 0.0]"
"[5, 1, 8, 5, 2]","[0.0, 0.0, 1.510339210964067, 0.0]"
"[5, 1, 4, 5, 4]","[0.0, 0.0, 12.907954154724358, 0.0]"
"[5, 1, 4, 5, 1]","[0.0, 0.0, 2.1190797900133314, 0.0]"
"[5, 1, 4, 5, 6]","[0.0, 62.6719739229619, 10.764446466930716, 0.0]"
"[5, 1, 0, 5, 2]","[0.0, 0.0, 0.822243842316755, 0.0]"
"[5, 1, 0, 5, 4]","[0.0, 0.0, 5.153089551257021, 0.0]"
"[5, 1, 7, 5, 3]","[0.0, 0.0, 33.561012407101565, 0.0]"
"[5, 1, 8, 5, 4]","[0.0, 0.0, 22.95808305323657, 0.0]"
"[5, 1, 0, 5, 6]","[0.0, 82.80332633929147, 10.997222934762116, 0.0]"
"[5, 1, 0, 5, 1]","[0.0, 0.0, 11.693120873505295, 0.0]"
"[5, 1, 5, 5, 6]","[0.0, 75.2807083542393, 0.0, 0.0]"
"[5, 8, 5, 5, 4]","[0.0, 8.113316214028231, 0.0, 0.0]"
"[5, 0, 5, 5, 6]","[0.0, 13.761838469686538, 0.0, 0.0]"
"[5, 0, 5, 5, 2]","[0.0, 33.2180367707431, 0.0, 0.0]"
"[5, 0, 5, 5, 4]","[0.0, 16.098410871652675, 0.0, 0.0]"
"[5, 4, 5, 5, 3]","[0.0, 12.085322785260601, 0.0, 0.0]"
"[5, 4, 5, 5, 1]","[0.0, 10.042887989373721, 0.0, 0.0]"
"[5, 4, 5, 5, 4]","[0.0, 11.984036087624666, 0.0, 0.0]"
"[5, 4, 5, 5, 6]","[0.0, 2.675486973919904, 0.0, 0.0]"
"[8, 1, 1, 1, 3]","[20.392703243607478, 0.0, 0.0, 0.0]"
"[7, 1, 1, 1, 6]","[23.66585134630945, 58.464786541425056, 48.60935805278153, 50.00340361422009]"
"[0, 1, 1, 1, 1]","[13.221175445417533, 0.0, 0.0, 0.0]"
"[0, 1, 1, 1, 6]","[-2.461258428004373, 0.13621490652291093, 0.7423490767987865, 0.7150797755894402]"
"[8, 1, 1, 1, 1]","[14.847717702101784, 0.0, 0.0, 0.0]"
"[0, 1, 1, 1, 3]","[7.895328979421166, 0.0, 0.0, 0.0]"
"[5, 1, 1, 8, 3]","[0.0, 0.0, 0.0, 2.9976315812799905]"
"[5, 1, 1, 4, 6]","[0.0, 9.165239984791516, 0.3777445185982615, 47.230862986414174]"
"[5, 1, 1, 0, 6]","[0.0, 46.150340933572366, 12.343747022381663, -11.259904020987316]"
"[5, 1, 1, 4, 3]","[0.0, 0.0, 0.0, 8.107752412894783]"
"[5, 1, 1, 4, 5]","[0.0, 0.0, 0.0, 20.917307415973443]"
"[5, 1, 1, 0, 3]","[0.0, 0.0, 0.0, 16.43864293336367]"
"[5, 1, 1, 3, 1]","[0.0, 0.0, 0.0, 24.78232019899707]"
"[5, 1, 1, 3, 6]","[0.0, 0.0, 20.620427609434135, 0.0]"
"[5, 1, 1, 3, 3]","[0.0, 0.0, 0.0, 6.757293880469872]"
"[5, 1, 1, 3, 4]","[0.0, 0.0, 0.0, 14.014217534555437]"
"[5, 1, 1, 3, 2]","[0.0, 0.0, 0.0, 28.029638542365703]"
"[5, 1, 8, 5, 1]","[0.0, 0.0, 2.9094654695245437, 0.0]"
"[5, 1, 0, 5, 3]","[0.0, 0.0, 14.668532438000243, 0.0]"
"[5, 1, 0, 5, 5]","[0.0, 0.0, 18.33791904911225, 0.0]"
"[5, 1, 3, 5, 2]","[0.0, 0.0, 34.658698370430116, 0.0]"
"[0, 1, 1, 1, 2]","[-11.130533136967763, 0.0, 0.0, 0.0]"
"[8, 1, 1, 1, 4]","[2.0209767589641836, 0.0, 0.0, 0.0]"
"[4, 1, 1, 1, 6]","[-1.7921020275702773, 2.27548011240872, 3.903631605474849, 35.60867429230301]"
"[5, 1, 1, 8, 6]","[0.0, 0.8208415982691738, 0.9093291618622346, 0.7051702132550316]"
"[5, 1, 1, 4, 2]","[0.0, 0.0, 0.0, 21.324336912079204]"
"[5, 1, 1, 0, 5]","[0.0, 0.0, 0.0, 9.101185668240287]"
"[5, 1, 7, 5, 2]","[0.0, 0.0, 4.2369868600094325, 0.0]"
